"מזהה","עדיפות","נושא","סוג ראיה","שלב ראשי","אחריות מוצעת","תלויות","היקף יחסי","תיקון מוצע","קריטריון סיום","מקורות","סטטוס"
"A11","P1","אילוץ כיוון סיבים ברמת חלק אינו מחובר","שוחזר","4","Engine","A10","M","לחבר אילוץ סיבים בנקודה יחידה לפני האופטימיזציה ולשמור את האוריינטציה המקורית עבור מידות ותוויות.","בדיקת מסלול שלם מבחירה בממשק ועד תוצאת nesting, כולל שמירה ו־co-nesting.","C:/Users/yosi/Downloads/DFDF/src/engine/grain-constraint.ts:19 | C:/Users/yosi/Downloads/DFDF/src/store/worker-schedule.ts:142 | C:/Users/yosi/Downloads/DFDF/src/engine/cut-optimizer.ts:82 | C:/Users/yosi/Downloads/DFDF/docs/audits/2026-09-09/evidence/probes-2.json","תוקן — אילוץ סיבים נשמר ומוחל פעם אחת לפני nesting"
"A12","P1","ריווח החיתוך אינו מותאם לכלי CNC","ממצא קוד ופלט","7","CAM + נגר","A03,A11,A17","L","פרופיל ייצור שמגדיר כלי, ריווח מינימלי, אחיזה, גבולות מכונה ופסולת קצה; nesting וייצוא נגזרים ממנו.","הדמיית מעטפת הכלי מוכיחה שאינה פוגעת בחלק אחר, וחבילת CNC עוברת ביקורת איש מקצוע. קואורדינטות שליליות לבדן אינן הוכחה לתקלה, כי הן תלויות בהגדרת המכונה.","C:/Users/yosi/Downloads/DFDF/src/engine/materials.ts:236 | C:/Users/yosi/Downloads/DFDF/src/utils/gcode-export.ts:41 | C:/Users/yosi/Downloads/DFDF/src/utils/gcode-export.ts:101","חלקי — בדיקות מרווח כלי ולשוניות; נדרש פרופיל מכונה ואחיזה מאושר"
"A13","P1","ייצוא כל הלוחות ל־G-code מחבר תוכניות שכבר הסתיימו","ממצא קוד","7","Export","A12","M","ZIP עם קובץ עבודה נפרד לכל לוח ומניפסט, או job מפורש המותאם לבקר ולתהליך ההחלפה.","שני לוחות מייצרים שני jobs ניתנים לזיהוי, ולא קובץ שהתוכנית בו מסתיימת לאחר הראשון.","C:/Users/yosi/Downloads/DFDF/src/utils/gcode-export.ts:92 | C:/Users/yosi/Downloads/DFDF/src/utils/gcode-export.ts:139 | https://linuxcnc.org/docs/html/gcode/m-code.html#_m2_m30_program_end","תוקן — ZIP עם תוכנית נפרדת לכל לוח ו-manifest"
"A14","P1","ייבוא פרויקט מאמת מעטפת ולא תוכן","שוחזר","1","Data validation","","M","אימות מלא לפני החלת מצב או כתיבה: כמות פריטים, מזהים, יחידות, טווחים, חומרים, קשרים, גרסת סכימה ונפח קלט.","קלט פגום נדחה עם הודעה ממוקדת וללא שינוי הפרויקט הקיים; קלט ישן תקין עובר migration.","C:/Users/yosi/Downloads/DFDF/src/utils/project-storage.ts:102 | C:/Users/yosi/Downloads/DFDF/src/store/cabinet-store.ts:638 | C:/Users/yosi/Downloads/DFDF/src/apartment/persistence/design.ts:99 | C:/Users/yosi/Downloads/DFDF/docs/audits/2026-09-09/evidence/probes-3.json","תוקן — אימות תוכן תצורה, גאומטריה והפניות בייבוא"
"A15","P1","ניתן לייצא לפני שחישובי הרקע תואמים לגרסה","ממצא קוד","4","State / Export","A01,A30","M","מספר revision או hash לכל מסמך ותוצאת חישוב; ייצוא רק מתצלום מצב שכל תוצריו שייכים לאותה גרסה.","Worker מושהה + שינוי מידות + ייצוא אינם מאפשרים ערבוב גרסאות.","C:/Users/yosi/Downloads/DFDF/src/store/cabinet-store.ts:210 | C:/Users/yosi/Downloads/DFDF/src/store/worker-schedule.ts:164 | C:/Users/yosi/Downloads/DFDF/src/components/pdf/PdfExportPanel.tsx:35 | C:/Users/yosi/Downloads/DFDF/src/components/pdf/PdfExportPanel.tsx:324","תוקן — חסימת ייצוא בעת חישוב ממתין או כושל"
"A16","P2","התאוששות Workers חלקית","ממצא קוד","8","Workers","A15","M","בעלות על חיי Worker, מזהה בקשה בכל מסלול, timeout, ביטול, retry מוגבל ומצב ״תוצאה לא מעודכנת״.","בדיקות לתשובות בסדר הפוך, דחייה ישנה, קריסה ובקשה שאינה מחזירה תשובה.","C:/Users/yosi/Downloads/DFDF/src/store/worker-schedule.ts:120 | C:/Users/yosi/Downloads/DFDF/src/store/worker-schedule.ts:243","תוקן — timeout, שגיאות וביטול; ביטול תוצאות ישנות"
"A17","P1","ההדמיה בונה ארון לפי נוסחאות שונות","ממצא קוד","4","Engine / 3D","A03,A10","L","תיאור חלקים מרחבי אחד עם position, rotation, material ויחסים. ממנו לייצר 2D, ‏3D, BOM וייצוא.","שינוי עובי, גב, סוג רהיט, תמיכה או גובה מגירה מתבטא זהה בכל המבטים.","C:/Users/yosi/Downloads/DFDF/src/apartment/three/scene.ts:580 | C:/Users/yosi/Downloads/DFDF/src/apartment/three/scene.ts:636 | C:/Users/yosi/Downloads/DFDF/src/engine/dimensions.ts:29 | C:/Users/yosi/Downloads/DFDF/src/engine/parts.ts:24","תוקן — מופעי חלקים משותפים להדמיה ולייצוא"
"A18","P2","רצפה וקבועות אדריכליות אינן מיוצגות באופן מלא ב־3D","ממצא קוד","6","Geometry / 3D","A06,A17","M","triangulation למרובים קעורים ולחורים, ויצירת מעטפת אדריכלית מאותה גאומטריה שמוצגת ב־2D.","חדר מדורג, פיר, עמוד ומסתור נשארים זהים ב־2D וב־3D. אין להסיק מכאן שכל חדר קיים מצויר באופן שגוי.","C:/Users/yosi/Downloads/DFDF/src/apartment/three/scene.ts:175 | C:/Users/yosi/Downloads/DFDF/src/apartment/three/scene.ts:711 | C:/Users/yosi/Downloads/DFDF/src/apartment/components/Plan2D.tsx:115","חלקי — רצפה, חורים וקבועות ידועות; נותר אימות מקור מורכב"
"A19","P2","אובדן WebGL אינו מחליף את מצב ההדמיה","שוחזר","6","3D","","S","טיפול ב־contextlost/contextrestored, מצב התאוששות, ניקוי משאבים ופעולת מעבר ל־2D. להשתמש גם ב־ResizeObserver לשינוי גודל המשטח.","כשל יזום ושחזור אינם מאבדים את התכנון או משאירים מסך שנראה פעיל.","C:/Users/yosi/Downloads/DFDF/src/apartment/components/Room3D.tsx:130 | C:/Users/yosi/Downloads/DFDF/src/apartment/three/renderer.ts:119 | C:/Users/yosi/Downloads/DFDF/docs/audits/2026-09-09/evidence/probes-3.json","תוקן — התאוששות WebGL ומעבר ל-2D"
"A20","P3","איכות החומרים והתאורה מוגבלת","המלצת עיצוב מבוססת קוד","6","3D + Design","A17,A18,A32","L","קודם נאמנות גאומטרית; לאחר מכן טקסטורות בקנה מידה אמיתי, כיוון סיבים לפי חלק, roughness, צל מגע, קצוות עדינים ותאורה ניטרלית.","סצנת בדיקה קבועה שמבדילה בבירור עץ/בד/מתכת/זכוכית בלי לעוות מידות או גוון.","C:/Users/yosi/Downloads/DFDF/src/apartment/three/renderer.ts:78 | C:/Users/yosi/Downloads/DFDF/docs/audits/2026-09-09/evidence/planner-3d-desktop.png","חלקי — שקיפות, ברק ומרקמים בקנה מידה; המחשה מתקדמת נותרה להמשך"
"A21","P2","בחירה ותפעול במודל דורשים מעבר לבקרים חיצוניים","קוד ובדיקה חזותית","6","3D + UX","A17","L","בחירה מסונכרנת במודל וברשימה, outline, הצגה/הסתרה/נעילה, בקרי הזזה וסיבוב ומידות סביב הפריט.","משתמש חדש מזהה, בוחר ומשנה את הפריט הנכון בלי לנחש איזה כפתור מייצג אותו; כל פעולה נגישה גם במקלדת.","C:/Users/yosi/Downloads/DFDF/src/apartment/components/Room3D.tsx:260 | C:/Users/yosi/Downloads/DFDF/src/apartment/components/Plan2D.tsx:94","חלקי — בחירה, בקרים ונעילה עם שמירה וביטול; גרירת צירים בתלת־ממד נותרה להמשך"
"A22","P2","תכנון במובייל מחייב גלילה בין המודל לבקרים","נצפה","5","UX / Frontend","A01","L","משטח עבודה נשאר גלוי, סרגל פעולות קצר ותפריט עריכה תחתון במצבי גובה. חדרים וקטלוג נפתחים לפי צורך.","הוספה, עריכת מידות, סיבוב, ביטול ושמירה ב־390×844 בלי לאבד את המודל מהעין ובלי חסימה על ידי המקלדת.","C:/Users/yosi/Downloads/DFDF/src/apartment/PlannerApp.tsx:875 | C:/Users/yosi/Downloads/DFDF/src/apartment/PlannerApp.tsx:1178 | C:/Users/yosi/Downloads/DFDF/docs/audits/2026-09-09/evidence/planner-mobile.png","תוקן — מודל גלוי ומגירת עריכה תחתונה במובייל"
"A23","P2","חלונות דיאלוג אינם עקביים בנגישות","שוחזר","5","Frontend / Accessibility","","M","רכיב Dialog/Drawer משותף עם initial focus, focus trap, Escape, החזרת מיקוד, נעילת גלילת רקע ומצב שגיאה.","בדיקת מקלדת לכל חלון פתוח, מעבר Tab לשני הכיוונים ו־axe במצב הפעיל.","C:/Users/yosi/Downloads/DFDF/src/apartment/components/DesignLibraryPanel.tsx:20 | C:/Users/yosi/Downloads/DFDF/src/site/pages/EditorialPages.tsx:53 | C:/Users/yosi/Downloads/DFDF/docs/audits/2026-09-09/evidence/probes-2.json","תוקן — מיקוד ו-Escape עקביים ודיאלוגים מקוננים"
"A24","P2","מסנני גלריה משנים מראה בלי לסנן","שוחזר","5","Frontend","","S","קטגוריה סמנטית בכל פריט, רשימה מסוננת, מצב ריק ומספר תוצאות.","״מטבחים״ מחזיר רק מטבחים; ״הכול״ משחזר את הרשימה; בחירת פרויקט יכולה לשאת את ההקשר לתכנון.","C:/Users/yosi/Downloads/DFDF/src/site/pages/EditorialPages.tsx:10 | C:/Users/yosi/Downloads/DFDF/docs/audits/2026-09-09/evidence/probes-3.json","תוקן — סינון אמיתי בגלריה"
"A25","P2","טופס הקשר אינו יוצר פנייה או תיעוד","ממצא קוד","7","Product / Frontend","A02,A30; פרטי העסק","M","לבחור ערוץ עסקי אמיתי עם הבעלים; עד אז להציע הורדת בקשה או העתקת סיכום. לאחר חיבור: validation, אישור קבלה, retry ומזהה פנייה, תוך צירוף גרסת התכנון בהסכמה.","בקשה מגיעה לערוץ שנבחר, אפשר לזהות אותה ואין הודעת הצלחה כוזבת. פרטי עסק לא יומצאו.","C:/Users/yosi/Downloads/DFDF/src/site/pages/ContactPage.tsx:4","חלקי — בקשה להורדה עם מזהה; ממתין לערוץ קשר עסקי"
"A26","P2","אורך דף הבית אינו נשלט היטב","נמדד","5","Design / Frontend","","S","יחסי תמונה מכוונים לכל סוג כרטיס, גובה מרבי וחיתוך מוקד מתאים; לקצר חזרות במסרים. ליצור גדלים רספונסיביים גם לתמונות הגלריה, ולא רק ל־hero.","אין כרטיס מקרי בגובה כמעט שני מסכים, והמשתמש מבין את השירות והפעולה המרכזית מוקדם.","C:/Users/yosi/Downloads/DFDF/src/site/site.css:756 | C:/Users/yosi/Downloads/DFDF/src/site/components/EditorialImage.tsx:10 | C:/Users/yosi/Downloads/DFDF/docs/audits/2026-09-09/evidence/probes.json","תוקן — גובה תמונות וכרטיסים מוגבל ורספונסיבי"
"A27","P2","אתר התדמית והמתכנן אינם חולקים שפה חזותית מלאה","המלצת עיצוב","5","Design / Frontend","","M","tokens משותפים לצבע, טיפוגרפיה, צפיפות, גובה בקרים, רדיוס ופוקוס; לוגו קומפקטי קריא; פעולה ראשית אחת בכל הקשר.","מפרט רכיבים שמיושם באתר, במתכנן ובחלונות, עם בדיקת עברית ומצבי ניגודיות.","C:/Users/yosi/Downloads/DFDF/src/site/site.css:1 | C:/Users/yosi/Downloads/DFDF/src/index.css:1 | C:/Users/yosi/Downloads/DFDF/src/site/components/BrandMark.tsx:1","תוקן — גופן, מיתוג וטוקנים משותפים ושיפור מובייל"
"A28","P2","ניווט אינו מנהל את מצב העמוד והפרויקט","ממצא קוד","1","Frontend","A01,A30","M","חוזה ניווט עם apartmentId, designId ו־roomId, breadcrumbs ומדיניות focus/scroll.","קישור ישיר, אחורה/קדימה ורענון משחזרים את ההקשר; דף חדש נפתח באזור הרלוונטי.","C:/Users/yosi/Downloads/DFDF/src/site/TiferetSite.tsx:74 | C:/Users/yosi/Downloads/DFDF/src/site/router.ts:1 | C:/Users/yosi/Downloads/DFDF/src/site/pages/MyApartmentPage.tsx:7","תוקן — נתיבי דירה/חדר/גרסה, מיקוד וניווט"
"A29","P2","המערכת הציבורית מקובעת למודל דירה יחיד","ממצא קוד","3","Data / Frontend","A08,A09,A30","L","registry דירות וגרסאות מקור, בחירה לפי מזהה, אותו מסלול לדירה מובנית ומיובאת, וסטטוס זמינות ברור לכל דירה.","מודל שני נכנס ללא תנאים ייחודיים בקוד המסכים; אין הצגת גאומטריה משוערת כמאומתת.","C:/Users/yosi/Downloads/DFDF/src/site/pages/ApartmentsPage.tsx:125 | C:/Users/yosi/Downloads/DFDF/src/site/pages/MyApartmentPage.tsx:1 | C:/Users/yosi/Downloads/DFDF/src/site/pages/SummaryPage.tsx:13 | C:/Users/yosi/Downloads/DFDF/docs/evidence/tiferet-apartment-audit.md:1","תוקן — רישום דירות כללי וקטלוג דירות שיובאו"
"A30","P2","שמירות, גרסאות ושיתוף אינם מסמך נייד אחד","ממצא קוד","1","Data / State","A14","L","snapshot עקבי עם version, מקור הדירה, חומרים, ריהוט ומטא־נתונים; כתיבה אטומית ב־IndexedDB ומנגנון התאוששות.","ייצוא → דפדפן נקי → ייבוא משחזר את אותו תכנון, כולל דירה מיובאת וחומרים פרטיים.","C:/Users/yosi/Downloads/DFDF/src/apartment/PlannerApp.tsx:615 | C:/Users/yosi/Downloads/DFDF/src/apartment/PlannerApp.tsx:692 | C:/Users/yosi/Downloads/DFDF/src/apartment/persistence/imported-apartments.ts:1","תוקן — מסמך נייד כולל דירה, טיוטה וגרסאות"
"A31","P2","האתר הראשי אינו נרשם לעבודה לא מקוונת","שוחזר בבנייה","8","PWA","A30,A32","M","רישום ועדכונים בשורש האפליקציה, קאש לפי המסלול הנדרש ומצב ״מוכן לעבודה לא מקוונת״ שמבוסס על הצלחה אמיתית.","ביקור רק באתר/מתכנן, סגירה, ניתוק ורענון פועלים; המקורות החסרים מזוהים בלי לטעון שהכול זמין.","C:/Users/yosi/Downloads/DFDF/src/hooks/useSwUpdate.ts:31 | C:/Users/yosi/Downloads/DFDF/src/components/layout/SwUpdateBanner.tsx:19 | C:/Users/yosi/Downloads/DFDF/src/main.tsx:1 | C:/Users/yosi/Downloads/DFDF/docs/audits/2026-09-09/evidence/probes-2.json","תוקן — רישום PWA באתר ובדיקת פתיחה לא מקוונת"
"A32","P2","תקציבי גודל החבילה כבר נכשלים","נמדד","0","Build / Frontend","","M","לנתח imports וטעינה לפי מסך, להסיר כפילויות, למדוד CSS של שני הממשקים ולצמצם precache לגרעין הנדרש.","תקציבים עוברים ללא העלאה שרירותית; דוח רשת לכניסה ראשונה ולמעבר למתכנן.","C:/Users/yosi/Downloads/DFDF/config/bundle-budget.json:1 | C:/Users/yosi/Downloads/DFDF/vite.config.ts:66 | C:/Users/yosi/Downloads/DFDF/docs/audits/2026-09-09/evidence/build.log | C:/Users/yosi/Downloads/DFDF/docs/audits/2026-09-09/evidence/bundle.log","תוקן — תקציבי החבילה המצטברים עוברים ללא הגדלת תקרה"
"A33","P1","פרסום יכול להתחיל בלי להמתין לאיכות","ממצא תצורה","0","DevOps","","S","פרסום של אותו artifact ואותו commit רק לאחר הצלחת שערי החובה; שמירת גרסה קודמת ונתיב rollback.","כשל מכוון בתקציב או בבדיקה מונע פרסום, ולא רק מסמן workflow אחר באדום. לא נבדקו הגנות branch או אישורי environment בשרת.","C:/Users/yosi/Downloads/DFDF/.github/workflows/pages.yml:24 | C:/Users/yosi/Downloads/DFDF/.github/workflows/ci.yml:18","תוקן — איכות ובדיקות חוסמות העלאת תוצר לפרסום"
"A34","P2","שערי הבדיקות אינם כוללים את כל המוצר","ממצא תצורה","0","QA / Frontend","","M","בעלות ותקציבים לכל שלושת המשטחים, כיסוי לפי מסלולי סיכון, ובסיס תמונות מאושר ל־RTL/מובייל/3D.","שינוי שובר במתכנן או במצב דיאלוג נכשל בשער הרלוונטי; ירוק משקף תוצאה שימושית ולא רק מספר בדיקות גדול.","C:/Users/yosi/Downloads/DFDF/scripts/check-component-budgets.js:7 | C:/Users/yosi/Downloads/DFDF/vitest.config.ts:47 | C:/Users/yosi/Downloads/DFDF/.github/workflows/ci.yml:85","תוקן — כיסוי ותקציב רכיבים לכל שלוש שכבות המוצר"
"A35","P2","התמיכה בשש שפות אינה שלמה","נמדד וממצא קוד","8","i18n / Product","","M","להגדיר במפורש אילו שפות נתמכות בכל משטח, fallback מתועד לשמות דומיין ומדידה לכל השפות המוצעות.","אין תוויות ריקות או מפתחות גולמיים; לא מוצגת הבטחה לשפה שהמסלול המרכזי בה חלקי.","C:/Users/yosi/Downloads/DFDF/src/i18n/index.ts:6 | C:/Users/yosi/Downloads/DFDF/src/engine/types.ts:45 | C:/Users/yosi/Downloads/DFDF/src/components/configurator/MaterialSelector.tsx:29 | C:/Users/yosi/Downloads/DFDF/docs/audits/2026-09-09/evidence/inventory.json","חלקי — fallback תקין והצהרת תמיכה מדויקת; תרגום מלא נותר להמשך"
"A36","P2","מסלול שגיאה באתר יכול להפיל את המסך כולו","שוחזר ברמת הפונקציה","1","Frontend / State","A14","M","parsing בטוח, 404 ברור, boundary לכל מסלול ופעולות התאוששות השומרות טיוטה.","כתובת פגומה, כישלון טעינת chunk וחסימת אחסון אינם משאירים מסך ריק.","C:/Users/yosi/Downloads/DFDF/src/site/router.ts:38 | C:/Users/yosi/Downloads/DFDF/src/site/TiferetSite.tsx:1 | C:/Users/yosi/Downloads/DFDF/src/apartment/persistence/imported-apartments.ts:36 | C:/Users/yosi/Downloads/DFDF/docs/audits/2026-09-09/evidence/probes.json","תוקן — גבולות שגיאה ושחזור בטוח"
"A37","P2","PDF רץ על התהליך הראשי; ייצוא תלת־ממד אינו תמיד סצנה מורכבת","ממצא קוד","7","Export","A15,A17","L","יצירת PDF הניתנת לביטול עם תצלום מצב קבוע; להפריד ״חלקים לייצוא״ מ״מודל מורכב״ ולהחליט על דיוק פורמטים.","PDF כבד אינו חוסם עריכה לזמן בלתי סביר; כל ייצוא נפתח בכלי יעד חיצוני ושומר מידות לפי החוזה שהוגדר.","C:/Users/yosi/Downloads/DFDF/src/components/pdf/PdfExportPanel.tsx:55 | C:/Users/yosi/Downloads/DFDF/src/engine/export/gltf-export.ts:1 | C:/Users/yosi/Downloads/DFDF/src/engine/export/step-export.ts:226","תוקן — PDF ב-Worker ו-glTF מורכב"
"A38","P2","הערכת העלות חסרה חוזה עסקי ונתוני מקור","ממצא קוד/מוצר","7","Product / Engine","A10; נתוני העסק","M","מחיר בעל תאריך ומקור, מצב ״חסר מחיר״, מטבע אחיד, פירוט כלולים/לא כלולים וטווח אומדן.","רכיב ללא מחיר מסומן כחסר ולא כחינמי; אפשר להסביר את האומדן עד שורת המקור. מספרי מחיר חדשים יגיעו מהעסק, לא מהנחה בקוד.","C:/Users/yosi/Downloads/DFDF/src/engine/cost-estimator.ts:116 | C:/Users/yosi/Downloads/DFDF/src/engine/types.ts:63 | C:/Users/yosi/Downloads/DFDF/src/site/pages/SummaryPage.tsx:116","חלקי — מחיר חסר וסכום חלקי; ממתין למחירון עסקי מאושר"
"A39","P2","כפילות ומודולים מבודדים מגדילים את עלות התחזוקה","נמדד וממצא מבנה","8","Architecture","מיפוי שימושים והגנת מסלולים","M","מפת יכולות: פעיל, ניסיוני, API חיצוני או מיועד להסרה; בעלים וקריאת שימוש לכל יכולת. פיצול PlannerApp לפי אחריות אחרי הוספת מבחני מסלול.","הייצואים המתים מוסרים או מתועדים במכוון, בלי לשבור APIs; dependencies בין תחומים ברורים.","C:/Users/yosi/Downloads/DFDF/package.json:112 | C:/Users/yosi/Downloads/DFDF/src/engine/index.ts:1 | C:/Users/yosi/Downloads/DFDF/src/apartment/PlannerApp.tsx:166 | C:/Users/yosi/Downloads/DFDF/docs/audits/2026-09-09/evidence/dead.log","תוקן — פיצול מתכנן, הסרת כפילות ובדיקת Knip"
"A40","P2","התיעוד ושמות המצבים אינם מקור אמין מספיק","ממצא תיעוד","8","Documentation","עדכון לאחר כל שלב","S","מסמך מוצר מרכזי ומפת ארכיטקטורה מעודכנת; ליד כל יכולת לציין סטטוס, מסלול שימוש ובדיקה מוכיחה.","אפשר למצוא את נקודת הכניסה, בעלות, מקור אמת ובדיקת הקבלה של כל יכולת בלי להסיק זאת משם קובץ.","C:/Users/yosi/Downloads/DFDF/AGENTS.md:1 | C:/Users/yosi/Downloads/DFDF/ROADMAP.md:1 | C:/Users/yosi/Downloads/DFDF/docs/CLAIM-AUDIT.md:29 | C:/Users/yosi/Downloads/DFDF/docs/ARCHITECTURE.md:1","תוקן — מדריך ניווט, חוזי נתונים ומסמך מסירה עדכני"
